rms,kurtosis,spectral_centroid,spectral_flatness,peak_to_peak,label
3.64306411385588,2.7106456197365754,16.56963266472687,0.5909260880569486,0.037069597069597116,PRISMATIC_BATTERY
3.647366442583312,3.144340986553731,17.896169128272007,0.5947849452849929,0.04673992673992666,PRISMATIC_BATTERY
3.643402609799087,2.4588230235555373,16.15350832405895,0.5917685582114875,0.03868131868131863,PRISMATIC_BATTERY
3.6442949533906503,3.463229111184485,16.9650185840322,0.6110959348602737,0.06285714285714272,PRISMATIC_BATTERY
3.643134622028598,3.4699015123129553,17.354459776137958,0.5919182167602801,0.061245421245421205,PRISMATIC_BATTERY
3.6451131787135354,2.490341378063299,16.608435728669104,0.605436849940394,0.04190476190476167,PRISMATIC_BATTERY
3.6460706052007446,2.2545565488152244,17.812198215101922,0.6371564218644473,0.03706959706959756,PRISMATIC_BATTERY
3.64358264877891,3.1502125671878485,15.283013694497683,0.5426341817269332,0.051575091575091214,PRISMATIC_BATTERY
3.6450870087667258,3.2353541347023778,16.74921900612731,0.6300538947362216,0.035457875457875154,PRISMATIC_BATTERY
3.6430349504467343,2.8275092908592656,17.003664430204623,0.5935104184410771,0.04835164835164818,PRISMATIC_BATTERY
3.644742634385768,4.2141036189611825,16.319059641248504,0.6037312975276152,0.05963369963370013,PRISMATIC_BATTERY
3.6421364051679026,3.1762788123277192,19.232694404678643,0.6764498397739326,0.043516483516483184,PRISMATIC_BATTERY
3.64411770292018,5.265063744253979,18.082432008326492,0.6379538644250674,0.053186813186813175,PRISMATIC_BATTERY
3.644886232043608,3.1021032599913494,16.287768743467744,0.5829417654939689,0.0515750915750921,PRISMATIC_BATTERY
3.6442177939604434,3.8896117428913763,18.22907934170019,0.6507882987181204,0.05802197802197817,PRISMATIC_BATTERY
3.6432422266276445,2.8569637256352425,18.509478685186696,0.652661547700458,0.04351648351648407,PRISMATIC_BATTERY
3.6456754566970626,4.406040603396695,18.177338854038506,0.6471267269935582,0.05802197802197773,PRISMATIC_BATTERY
3.6439922065482926,2.691403909688081,17.98587742192866,0.6157506020670886,0.04673992673992711,PRISMATIC_BATTERY
3.6432175369953796,3.3574695825783696,18.06245289791047,0.6315195027692554,0.04673992673992711,PRISMATIC_BATTERY
3.6443530067702956,3.4542931867222495,18.098429853008096,0.6387048329606215,0.048351648351648624,PRISMATIC_BATTERY
3.6452083396009325,2.430287602664116,18.41214761883394,0.6515091140084203,0.03706959706959667,PRISMATIC_BATTERY
3.6445153759760096,2.37232792761439,18.347951298266164,0.6369633361383443,0.045128205128205146,PRISMATIC_BATTERY
3.646061142058403,2.026029068495914,19.76644368969666,0.6956204157262568,0.0354578754578756,PRISMATIC_BATTERY
